epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,1954.62,1.75304,1.81496,1.79054,0.60593,0.62268,0.64901,0.28337,1.94127,1.51141,1.8186,0.0050995,0.0050995,0.0050995
101,1976.05,1.73666,1.8142,1.77814,0.61919,0.61367,0.64872,0.28306,1.92868,1.53051,1.77477,0.00505,0.00505,0.00505
102,1997.79,1.71385,1.82156,1.77091,0.64335,0.61334,0.6696,0.30387,1.9312,1.52301,1.76914,0.0050005,0.0050005,0.0050005
103,2019.84,1.72131,1.78796,1.77053,0.56635,0.71167,0.69035,0.31412,1.91907,1.45804,1.77431,0.004951,0.004951,0.004951
104,2041.54,1.71709,1.75575,1.77502,0.6832,0.62069,0.6856,0.2955,1.93371,1.47412,1.79887,0.0049015,0.0049015,0.0049015
105,2063.4,1.73261,1.81158,1.77814,0.62482,0.61907,0.68227,0.31553,1.88963,1.46132,1.75951,0.004852,0.004852,0.004852
106,2085.15,1.71356,1.81488,1.76695,0.66592,0.69174,0.69478,0.30786,1.89104,1.49559,1.74988,0.0048025,0.0048025,0.0048025
107,2106.79,1.72689,1.75706,1.7566,0.61665,0.64358,0.67917,0.29832,1.91912,1.47743,1.7941,0.004753,0.004753,0.004753
108,2128.38,1.70994,1.7891,1.76724,0.59012,0.69505,0.68394,0.30044,1.92957,1.4764,1.7834,0.0047035,0.0047035,0.0047035
109,2150.18,1.71084,1.74187,1.75883,0.62353,0.68273,0.69544,0.30362,1.91079,1.4184,1.75792,0.004654,0.004654,0.004654
110,2171.51,1.69149,1.76631,1.74658,0.66964,0.66616,0.68893,0.30113,1.92735,1.4572,1.78035,0.0046045,0.0046045,0.0046045
111,2193.09,1.71909,1.77162,1.76662,0.69086,0.62655,0.69137,0.30335,1.89549,1.45055,1.7575,0.004555,0.004555,0.004555
112,2214.83,1.69216,1.74238,1.74809,0.62216,0.67181,0.69423,0.30455,1.93719,1.4511,1.77319,0.0045055,0.0045055,0.0045055
113,2236.4,1.69954,1.76052,1.7556,0.68403,0.6655,0.73845,0.32723,1.88876,1.46469,1.7403,0.004456,0.004456,0.004456
