epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,2972.92,1.48893,1.24612,1.63484,0.89294,0.89206,0.92979,0.46605,1.74065,0.96011,1.73613,0.0016345,0.0016345,0.0016345
171,2990.71,1.4601,1.23461,1.63297,0.91669,0.86643,0.92012,0.46635,1.73663,0.95681,1.73242,0.001585,0.001585,0.001585
172,3008.7,1.45782,1.24308,1.63158,0.91975,0.86531,0.91995,0.45916,1.74551,0.9326,1.7383,0.0015355,0.0015355,0.0015355
173,3026.8,1.47272,1.24723,1.62565,0.91753,0.86512,0.92151,0.46027,1.75141,0.94354,1.74929,0.001486,0.001486,0.001486
174,3044.66,1.46817,1.25568,1.62048,0.92254,0.86591,0.91833,0.46761,1.7357,0.93053,1.73876,0.0014365,0.0014365,0.0014365
175,3062.54,1.48268,1.27784,1.65738,0.92032,0.8787,0.9226,0.46351,1.74543,0.94228,1.74957,0.001387,0.001387,0.001387
176,3079.84,1.42207,1.18987,1.60361,0.9329,0.87216,0.92799,0.46862,1.72583,0.93623,1.73622,0.0013375,0.0013375,0.0013375
177,3097.46,1.46117,1.2398,1.64155,0.9207,0.88033,0.92779,0.46645,1.73228,0.95245,1.73791,0.001288,0.001288,0.001288
178,3114.69,1.4452,1.21919,1.62089,0.92854,0.8807,0.92454,0.46673,1.74136,0.94372,1.73305,0.0012385,0.0012385,0.0012385
179,3131.68,1.42717,1.18126,1.59291,0.91744,0.87801,0.91742,0.46085,1.75023,0.92967,1.7462,0.001189,0.001189,0.001189
180,3149.07,1.43298,1.22072,1.61001,0.91286,0.88471,0.92757,0.46689,1.73233,0.94165,1.73105,0.0011395,0.0011395,0.0011395
181,3166.21,1.45151,1.20518,1.6162,0.94296,0.86621,0.92888,0.46358,1.74723,0.94553,1.73994,0.00109,0.00109,0.00109
182,3183.34,1.44369,1.18429,1.61982,0.90155,0.86754,0.91065,0.46489,1.72685,0.93959,1.7315,0.0010405,0.0010405,0.0010405
183,3200.53,1.45127,1.20694,1.61887,0.92275,0.8835,0.91655,0.46222,1.73067,0.92753,1.73376,0.000991,0.000991,0.000991
